track_id,title,song_id,release,artist_id,artist_mbid,artist_name,duration,artist_familiarity,artist_hotttnesss,year
TRMMMYQ128F932D901,"Silent Night",SOQMMHC12AB0180CB8,"Monster Ballads X-Mas",ARYZTJS1187B98C555,357ff05d-848a-44cf-b608-cb34b5701ae5,"Faster Pussy cat",252.05506,0.649822100201,0.394031892714,2003
TRMMMKD128F425225D,"Tanssi vaan",SOVFVAK12A8C1350D9,"Karkuteillä",ARMVN3U1187FB3A1EB,8d7ef530-a6fd-4f8f-b2e2-74aec765e0f9,Karkkiautomaatti,156.55138,0.439603966677,0.356992107756,1995
TRMMMRX128F93187D9,"No One Could Ever",SOGTUKN12AB017F4F1,Butter,ARGEKB01187FB50750,3d403d44-36ce-465c-ad43-ae877e65adc4,"Hudson Mohawke",138.97098,0.643680572058,0.437503836595,2006
TRMMMCH128F425532C,"Si Vos Querés",SOBNYVR12A8C13558C,"De Culo",ARNWYLR1187B9B2F9C,12be7648-7094-495f-90e6-df4189d68615,"Yerba Brava",145.05751,0.448501159656,0.372349068517,2003
TRMMMWA128F426B589,"Tangle Of Aspens",SOHSBXH12A8C13B0DF,"Rene Ablaze Presents Winter Sessions",AREQDTE1269FB37231,"","Der Mystic",514.29832,0.0,0.0,0
TRMMMXN128F42936A5,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",SOZVAPQ12A8C13B63C,"Berwald: Symphonies Nos. 1/2/3/4",AR2NS5Y1187FB5879D,d087b377-bab7-46c4-bd12-15debebb5d61,"David Montgomery",816.53506,0.361286979628,0.109625847059,0
TRMMMLR128F1494097,"We Have Got Love",SOQVRHI12A6D4FB2D7,"Strictly The Best Vol. 34",ARO41T51187FB397AB,d2461c0a-5575-4425-a225-fce0180de3fd,"Sasha / Turbulence",212.37506,0.692922730576,0.453731585999,0
TRMMMBB12903CB7D21,"2 Da Beat Ch'yall",SOEYRFT12AB018936C,"Da Bomb",AR3Z9WY1187FB4CDC2,bf61e8ff-7621-4655-8ebd-68210645c5e9,"Kris Kross",221.20444,0.588156187675,0.401092425177,1993
TRMMMHY12903CB53F1,Goodbye,SOPMIYT12A6D4F851E,"Danny Boy",ARA04401187B991E6E,1a9bf859-1dc2-495b-9e7c-289be7731a9f,"Joseph Locke",139.17995,0.408465463469,0.285901196045,0
TRMMMML128F4280EE9,"Mama_ mama can't you see ?",SOJCFMH12A8C13B0C2,"March to cadence with the US marines",ARCVMYS12454A51E6E,"","The Sun Harbor's Chorus-Documentary Recordings",104.48934,0.41994127477,0.24913722954,0
TRMMMNS128F93548E1,"L'antarctique",SOYGNWH12AB018191E,"Des cobras des tarentules",AR59BSJ1187FB4474F,891fccfc-24c1-4bfd-bf49-c736e59e443f,"3 Gars Su'l Sofa",68.96281,0.555013966104,0.352948913868,2007
TRMMMXJ12903CBF111,"El hijo del pueblo",SOLJTLX12AB01890ED,"32 Grandes Éxitos  CD 2",ARCVIFR1187B99129F,ec57c22f-9bb7-48ab-aa85-dab108a71b53,"Jorge Negrete",168.22812,0.541389764483,0.369096249987,1997
TRMMMCJ128F930BFF8,"Cold Beer feat. Prince Metropolitan",SOQQESG12A58A7AA28,"International Hardcore Superstar",ARVIT0V1187B9A7CDE,2eb02f8c-8dfa-49dc-a224-11051ec45a42,"Danny Diablo",301.60934,0.622005388118,0.451578962861,0
TRMMMBW128F4260CAE,Pilots,SOMPVQB12A8C1379BB,"The Loyal",AREMPER1187B9AEB42,14efbb08-c3d8-404c-9ead-ad71fa586ee6,"Tiger Lou",318.45832,0.621826485807,0.406984727155,2005
TRMMMXI128F4285A3F,"N Gana",SOGPCJI12A8C13CCA0,"Afropea 3 - Telling Stories To The Sea",ARBAMQB1187FB3C650,0bb5e108-b41d-46cd-969e-69d34d1acdfe,"Waldemar Bastos",273.18812,0.543689917453,0.373679185802,0
TRMMMKI128F931D80D,006,SOSDCFG12AB0184647,"Lena 20 År",ARSB5591187B99A848,fba3e876-68f1-4a1f-99d9-c604480202ba,"Lena Philipsson",262.26893,0.529819134567,0.410228511159,1998
TRMMMUT128F42646E8,"(Looking For) The Heart Of Saturday",SOBARPM12A8C133DFF,"Cover Girl",ARDW5AW1187FB55708,42222090-c5e5-4243-8582-c29bc8b63ec6,"Shawn Colvin",216.47628,0.685502832087,0.44673296759,1994
TRMMMQY128F92F0EA3,"Ethos of Coercion",SOKOVRQ12A8C142811,"Descend Into Depravity",ARGWPP11187B9AEF43,f76167bb-c117-4022-8b6b-54c796edf5c9,"Dying Fetus",196.0224,0.734471413543,0.511975832943,2009
TRMMMTK128F424EF7C,Rock-N-Rule,SOIMMJJ12AF72AD643,"I'm Only A Man (Bonus Track Version)",ARDT9VH1187B999C0B,6b22de04-fb48-44aa-bd02-c1427f635477,Emery,217.57342,0.738995906455,0.563366896149,2007
TRMMMHQ128F4278194,"La bola extra",SOVMBTP12A8C13A8F6,"La bola extra",ARWFDED1187B9B9D71,8ff7e1b4-18f8-48ec-a8a0-793ab1a5511c,"Los Ronaldos",355.60444,0.467144844943,0.409127079449,0
TRMMMQV12903CA201E,"I Made It Over",SOOUESZ12AB0189AFD,"Let's Celebrate (He Is Risen)",ARVF2AD1187FB47580,fd711779-5524-4ed3-8d68-da0b867caa34,"Rev. Timothy Wright",353.77587,0.377190202702,0.290242069993,0
TRMMMMV128F14746A5,"Debussy : 12 Etudes : VI Pour les huit doigts",SOAGMGG12A6D4F9099,"Debussy : 12 Etudes_ Images Sets 1 & 2",AR0GK7N1187B9AC56C,bfc4370b-c0d9-46c7-825b-bf09f9b65264,"Pierre-Laurent Aimard",93.12608,0.41373893722,0.383463207779,0
TRMMMPN128F426610E,Nervous,SOGFWVT12A8C137C64,"Let No One Live Rent Free In Your Head",AR66C9X1187B98F7EA,b9313805-5fe0-4f1b-9f5c-9e52565a5a3d,Nicolette,213.4722,0.593554248297,0.297175632718,1996
TRMMMNO128F93539AA,"In The Journey",SOKLPMH12AB01861FA,"In The Journey",AR4TLW81187B99683D,0685ac4a-5cfc-408a-b391-903ea20e00bf,"Martin Sexton",319.81669,0.641197514984,0.44865347113,2001
TRMMMTG128F426B5BB,"Fuckin Ethic People (999)",SOEPAIN12A8C1396A7,"Crazeë Musick",ARDPJYJ11F4C83E24A,"",Craze,204.19873,0.559135107732,0.404593856077,0
TRMMMPJ128F9306985,"Tu Vida Con La Mía",SOQMZZI12AB01850D4,"Hoy Quiero Soñar",ARBE9HD1187FB40016,8cc00e45-94c9-40e0-882b-0e76dd5b472b,"Christian Castro",258.89914,0.583716758983,0.396612571069,0
TRMMMRZ128F4265EB4,"I'm Ready",SOEEHEY12CF5F88FB4,"Honkin' On Bobo",AR12F2S1187FB56EEF,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Aerosmith,253.70077,0.853382869278,0.610431620431,2004
TRMMMKD12903CF219E,"Take As Needed",SOWUMAZ12A67ADE769,"Nerve Damage",AREH0O41187FB4C405,83e32d32-fee5-45de-a4b6-b49956a069eb,Skinlab,210.93832,0.729867325353,0.417882034272,2002
TRMMMRR12903CF395D,"Autumn In The Mind (Acoustic Version)",SOJJAZT12AC4687219,"Lo Fi_ Acoustic Excursions",ARN5X9D1187B998A6D,2f338a80-cae4-40e8-a0f7-9b5468479e3a,"Mike Badger and Friends",180.55791,0.430914126593,0.0,0
TRMMMJW12903CF239E,Tequila,SOMLHJQ12AC4685B45,"Tequila il mambo del giubileo (12 Inc)",AR52DCD1187B992B5F,80d946ff-0567-4882-ad91-77c5d47448b8,Piotta,216.0322,0.542921743934,0.4112408291,0
TRMMMWA128F1462C8C,"All For A Purpose (Speak Life Album Version)",SOYNOIK12A6D4F7F3F,"Speak Life",ARPMCDB1187FB4B5D2,97989c9f-4efd-436a-b74e-c9914e9f3d06,"Sev Statik",236.042,0.501415339627,0.337593152829,0
TRMMMOT128F931A571,"C On",SOPUJOM12AB017FEEB,"C On",AR00P3M1187FB5428C,b3a35974-4703-4423-92bf-a1b5ac6cac3b,"The Advent",466.99057,0.597051561408,0.353114024096,0
