track_id,mxm_tid,word,count,is_test
TRAAAAV128F421A322,4623710,i,6,0
TRAAAAV128F421A322,4623710,the,4,0
TRAAAAV128F421A322,4623710,you,2,0
TRAAAAV128F421A322,4623710,to,2,0
TRAAAAV128F421A322,4623710,and,5,0
TRAAAAV128F421A322,4623710,a,3,0
TRAAAAV128F421A322,4623710,me,1,0
TRAAAAV128F421A322,4623710,it,1,0
TRAAAAV128F421A322,4623710,my,1,0
TRAAAAV128F421A322,4623710,is,2,0
TRAAAAV128F421A322,4623710,of,3,0
TRAAAAV128F421A322,4623710,your,1,0
TRAAAAV128F421A322,4623710,that,1,0
TRAAAAV128F421A322,4623710,are,2,0
TRAAAAV128F421A322,4623710,we,2,0
TRAAAAV128F421A322,4623710,am,2,0
TRAAAAV128F421A322,4623710,will,2,0
TRAAAAV128F421A322,4623710,for,4,0
TRAAAAV128F421A322,4623710,be,1,0
TRAAAAV128F421A322,4623710,have,2,0
TRAAAAV128F421A322,4623710,so,1,0
TRAAAAV128F421A322,4623710,this,1,0
TRAAAAV128F421A322,4623710,like,2,0
TRAAAAV128F421A322,4623710,de,1,0
TRAAAAV128F421A322,4623710,up,1,0
TRAAAAV128F421A322,4623710,was,2,0
TRAAAAV128F421A322,4623710,if,1,0
TRAAAAV128F421A322,4623710,got,1,0
TRAAAAV128F421A322,4623710,would,1,0
TRAAAAV128F421A322,4623710,been,1,0
TRAAAAV128F421A322,4623710,these,2,0
TRAAAAV128F421A322,4623710,seem,1,0
TRAAAAV128F421A322,4623710,someon,1,0
TRAAAAV128F421A322,4623710,understand,1,0
TRAAAAV128F421A322,4623710,pass,1,0
TRAAAAV128F421A322,4623710,river,1,0
TRAAAAV128F421A322,4623710,met,1,0
TRAAAAV128F421A322,4623710,piec,1,0
TRAAAAV128F421A322,4623710,damn,1,0
TRAAAAV128F421A322,4623710,worth,1,0
TRAAAAV128F421A322,4623710,flesh,1,0
TRAAAAV128F421A322,4623710,grace,1,0
TRAAAAV128F421A322,4623710,poor,2,0
TRAAAAV128F421A322,4623710,somehow,1,0
TRAAAAV128F421A322,4623710,ignor,1,0
TRAAAAV128F421A322,4623710,passion,1,0
TRAAAAV128F421A322,4623710,tide,1,0
TRAAAAV128F421A322,4623710,season,1,0
TRAAAAV128F421A322,4623710,seed,1,0
TRAAAAV128F421A322,4623710,resist,1,0
TRAAAAV128F421A322,4623710,order,2,0
TRAAAAV128F421A322,4623710,piti,1,0
TRAAAAV128F421A322,4623710,fashion,1,0
TRAAAAV128F421A322,4623710,grant,1,0
TRAAAAV128F421A322,4623710,captur,2,0
TRAAAAV128F421A322,4623710,ici,1,0
TRAAAAV128F421A322,4623710,soil,1,0
TRAAAAV128F421A322,4623710,patienc,1,0
TRAAAAV128F421A322,4623710,social,2,0
TRAAAAV128F421A322,4623710,highest,2,0
TRAAAAV128F421A322,4623710,slice,1,0
TRAAAAV128F421A322,4623710,leaf,1,0
TRAAAAV128F421A322,4623710,lifeless,1,0
TRAAAAV128F421A322,4623710,arrang,1,0
TRAAAAV128F421A322,4623710,wilder,1,0
TRAAAAV128F421A322,4623710,shark,1,0
TRAAAAV128F421A322,4623710,devast,1,0
TRAAAAV128F421A322,4623710,element,1,0
TRAAABD128F429CF47,6477168,i,10,0
TRAAABD128F429CF47,6477168,you,17,0
TRAAABD128F429CF47,6477168,to,8,0
TRAAABD128F429CF47,6477168,and,2,0
TRAAABD128F429CF47,6477168,a,2,0
TRAAABD128F429CF47,6477168,me,1,0
TRAAABD128F429CF47,6477168,it,3,0
TRAAABD128F429CF47,6477168,not,2,0
TRAAABD128F429CF47,6477168,in,3,0
TRAAABD128F429CF47,6477168,my,4,0
TRAAABD128F429CF47,6477168,is,3,0
TRAAABD128F429CF47,6477168,your,7,0
TRAAABD128F429CF47,6477168,that,5,0
TRAAABD128F429CF47,6477168,do,5,0
TRAAABD128F429CF47,6477168,are,6,0
TRAAABD128F429CF47,6477168,for,4,0
TRAAABD128F429CF47,6477168,no,1,0
TRAAABD128F429CF47,6477168,have,6,0
TRAAABD128F429CF47,6477168,so,2,0
TRAAABD128F429CF47,6477168,know,5,0
TRAAABD128F429CF47,6477168,but,3,0
TRAAABD128F429CF47,6477168,what,3,0
TRAAABD128F429CF47,6477168,when,2,0
TRAAABD128F429CF47,6477168,time,3,0
TRAAABD128F429CF47,6477168,can,1,0
TRAAABD128F429CF47,6477168,there,5,0
TRAAABD128F429CF47,6477168,la,7,0
TRAAABD128F429CF47,6477168,get,2,0
TRAAABD128F429CF47,6477168,got,3,0
TRAAABD128F429CF47,6477168,never,2,0
TRAAABD128F429CF47,6477168,feel,2,0
TRAAABD128F429CF47,6477168,want,2,0
