artist_id,term
AR002UA1187B9A637D,"garage rock"
AR002UA1187B9A637D,"country rock"
AR002UA1187B9A637D,"free jazz"
AR002UA1187B9A637D,oi
AR002UA1187B9A637D,"space rock"
AR002UA1187B9A637D,"power pop"
AR002UA1187B9A637D,"indie rock"
AR002UA1187B9A637D,reggae
AR002UA1187B9A637D,"pop rock"
AR002UA1187B9A637D,rock
AR002UA1187B9A637D,"indie pop"
AR002UA1187B9A637D,"female vocalist"
AR002UA1187B9A637D,"alternative rock"
AR002UA1187B9A637D,jazz
AR002UA1187B9A637D,punk
AR002UA1187B9A637D,pop
AR002UA1187B9A637D,experimental
AR002UA1187B9A637D,electronic
AR002UA1187B9A637D,60s
AR002UA1187B9A637D,noise
AR002UA1187B9A637D,english
AR002UA1187B9A637D,lo-fi
AR002UA1187B9A637D,garage
AR002UA1187B9A637D,"garage rock revival"
AR002UA1187B9A637D,"drum and bass"
AR002UA1187B9A637D,medwaybeat
AR002UA1187B9A637D,"synth punk"
AR003FB1187B994355,rock
AR003FB1187B994355,punk
AR003FB1187B994355,"alternative rock"
AR003FB1187B994355,"hip hop"
AR003FB1187B994355,texas
AR003FB1187B994355,"united states"
AR003FB1187B994355,hardcore
AR003FB1187B994355,dallas
AR003FB1187B994355,"alternative pop rock"
AR003FB1187B994355,"kansas city"
AR006821187FB5192B,orchestra
AR006821187FB5192B,opera
AR006821187FB5192B,"religious music"
AR006821187FB5192B,requiem
AR006821187FB5192B,california
AR006821187FB5192B,lullaby
AR006821187FB5192B,"baroque music"
AR006821187FB5192B,"early music"
AR006821187FB5192B,grime
AR006821187FB5192B,symphony
AR006821187FB5192B,"chamber music"
AR006821187FB5192B,sonata
AR006821187FB5192B,calypso
AR006821187FB5192B,club
AR006821187FB5192B,classical
AR006821187FB5192B,"choral music"
AR006821187FB5192B,"christmas music"
AR006821187FB5192B,beautiful
AR006821187FB5192B,english
AR006821187FB5192B,traditional
AR006821187FB5192B,world
AR006821187FB5192B,vocal
AR006821187FB5192B,baroque
AR006821187FB5192B,composer
AR006821187FB5192B,male
AR006821187FB5192B,choir
AR006821187FB5192B,instrumental
AR006821187FB5192B,bass
AR006821187FB5192B,british
AR006821187FB5192B,romantic
AR006821187FB5192B,modern
AR006821187FB5192B,"united states"
AR006821187FB5192B,original
AR006821187FB5192B,christian
AR006821187FB5192B,italian
AR006821187FB5192B,folk
AR006821187FB5192B,poetry
AR006821187FB5192B,spiritual
AR006821187FB5192B,group
AR006821187FB5192B,female
AR006821187FB5192B,acoustic
AR006821187FB5192B,england
AR006821187FB5192B,epic
AR006821187FB5192B,american
AR006821187FB5192B,german
AR006821187FB5192B,noise
AR006821187FB5192B,french
AR006821187FB5192B,minimal
AR006821187FB5192B,classic
AR006821187FB5192B,germany
AR006821187FB5192B,melodic
AR006821187FB5192B,rock
AR006821187FB5192B,european
AR006821187FB5192B,"death metal"
AR006821187FB5192B,"world reggae"
AR006821187FB5192B,pop
AR006821187FB5192B,piano
AR006821187FB5192B,country
AR009211187B989185,"lovers rock"
AR009211187B989185,reggae
AR009211187B989185,"roots reggae"
AR009211187B989185,"uk garage"
AR009211187B989185,ballad
